feature,base,lag,mean,std,nulls
realised_return_lag1,realised_return,1,-3.2e-05,0.015377,0
realised_return_lag2,realised_return,2,-0.000114,0.015172,0
realised_return_lag3,realised_return,3,0.000107,0.015312,0
realised_return_lag5,realised_return,5,0.00013,0.015011,0
realised_return_lag10,realised_return,10,0.000603,0.015161,0
rv21_lag1,rv21,1,0.014017,0.005359,0
rv21_lag2,rv21,2,0.013983,0.005342,0
rv21_lag3,rv21,3,0.013954,0.005326,0
rv21_lag5,rv21,5,0.013918,0.005275,0
rv21_lag10,rv21,10,0.013875,0.005113,0
rhetoric_index_lag1,rhetoric_index,1,0.18272,0.225152,0
rhetoric_index_lag2,rhetoric_index,2,0.18198,0.222274,0
rhetoric_index_lag3,rhetoric_index,3,0.185408,0.217594,0
rhetoric_index_lag5,rhetoric_index,5,0.189615,0.21792,0
rhetoric_index_lag10,rhetoric_index,10,0.190198,0.22504,0
rhetoric_index_z21_lag1,rhetoric_index_z21,1,-0.012752,0.978988,0
rhetoric_index_z21_lag2,rhetoric_index_z21,2,-0.015117,0.974056,0
rhetoric_index_z21_lag3,rhetoric_index_z21,3,0.001012,0.941844,0
rhetoric_index_z21_lag5,rhetoric_index_z21,5,0.027505,0.925301,0
rhetoric_index_z21_lag10,rhetoric_index_z21,10,0.057672,0.967631,0
tanker_rate_usd_lag1,tanker_rate_usd,1,31278.15947,6830.029159,0
tanker_rate_usd_lag2,tanker_rate_usd,2,31325.079924,6865.840631,0
tanker_rate_usd_lag3,tanker_rate_usd,3,31359.489015,6891.791562,0
tanker_rate_usd_lag5,tanker_rate_usd,5,31443.259848,6955.708175,0
tanker_rate_usd_lag10,tanker_rate_usd,10,31592.432197,6964.930528,0
tanker_rate_usd_z21_lag1,tanker_rate_usd_z21,1,-0.066789,1.308541,0
tanker_rate_usd_z21_lag2,tanker_rate_usd_z21,2,-0.055952,1.303757,0
tanker_rate_usd_z21_lag3,tanker_rate_usd_z21,3,-0.049585,1.302414,0
tanker_rate_usd_z21_lag5,tanker_rate_usd_z21,5,-0.024378,1.293488,0
tanker_rate_usd_z21_lag10,tanker_rate_usd_z21,10,0.012562,1.286363,0
acled_events_lag1,acled_events,1,23.106061,11.243085,0
acled_events_lag2,acled_events,2,23.147727,11.294071,0
acled_events_lag3,acled_events,3,23.189394,11.344674,0
acled_events_lag5,acled_events,5,23.272727,11.444753,0
acled_events_lag10,acled_events,10,23.310606,11.712093,0
acled_events_z21_lag1,acled_events_z21,1,0.008418,1.14222,0
acled_events_z21_lag2,acled_events_z21,2,0.017408,1.14904,0
acled_events_z21_lag3,acled_events_z21,3,0.027259,1.159147,0
acled_events_z21_lag5,acled_events_z21,5,0.054279,1.202716,0
acled_events_z21_lag10,acled_events_z21,10,0.048567,1.265222,0
acled_fatalities_lag1,acled_fatalities,1,24.390152,27.371325,0
acled_fatalities_lag2,acled_fatalities,2,24.518939,27.469437,0
acled_fatalities_lag3,acled_fatalities,3,24.647727,27.566597,0
acled_fatalities_lag5,acled_fatalities,5,24.905303,27.758096,0
acled_fatalities_lag10,acled_fatalities,10,24.924242,27.863497,0
acled_fatalities_z21_lag1,acled_fatalities_z21,1,-0.029621,1.209763,0
acled_fatalities_z21_lag2,acled_fatalities_z21,2,-0.014902,1.210296,0
acled_fatalities_z21_lag3,acled_fatalities_z21,3,0.001441,1.210426,0
acled_fatalities_z21_lag5,acled_fatalities_z21,5,0.04057,1.209301,0
acled_fatalities_z21_lag10,acled_fatalities_z21,10,0.074857,1.240675,0
acled_fatalities_revised_lag1,acled_fatalities_revised,1,33.988636,37.787628,0
acled_fatalities_revised_lag2,acled_fatalities_revised,2,34.189394,37.953971,0
acled_fatalities_revised_lag3,acled_fatalities_revised,3,34.390152,38.118527,0
acled_fatalities_revised_lag5,acled_fatalities_revised,5,34.791667,38.442369,0
acled_fatalities_revised_lag10,acled_fatalities_revised,10,34.962121,38.839615,0
acled_fatalities_revised_z21_lag1,acled_fatalities_revised_z21,1,-0.155222,1.186641,0
acled_fatalities_revised_z21_lag2,acled_fatalities_revised_z21,2,-0.12984,1.188135,0
acled_fatalities_revised_z21_lag3,acled_fatalities_revised_z21,3,-0.101703,1.188987,0
acled_fatalities_revised_z21_lag5,acled_fatalities_revised_z21,5,-0.034311,1.187449,0
acled_fatalities_revised_z21_lag10,acled_fatalities_revised_z21,10,0.002507,1.22579,0
hormuz_severity_lag1,hormuz_severity,1,1.450758,1.012019,0
hormuz_severity_lag2,hormuz_severity,2,1.458333,1.016109,0
hormuz_severity_lag3,hormuz_severity,3,1.465909,1.020127,0
hormuz_severity_lag5,hormuz_severity,5,1.481061,1.027947,0
hormuz_severity_lag10,hormuz_severity,10,1.55303,1.026748,0
hormuz_severity_z21_lag1,hormuz_severity_z21,1,-0.047865,1.006662,0
hormuz_severity_z21_lag2,hormuz_severity_z21,2,-0.041488,1.015695,0
hormuz_severity_z21_lag3,hormuz_severity_z21,3,-0.033336,1.026425,0
hormuz_severity_z21_lag5,hormuz_severity_z21,5,-0.009659,1.058755,0
hormuz_severity_z21_lag10,hormuz_severity_z21,10,0.227931,1.296805,0
